Date,Open,High,Low,Close,Adj Close,Volume
2014-06-16,75.750000,76.360001,75.580002,76.139999,68.255829,3992800
2014-06-17,76.089996,76.480003,75.910004,76.199997,68.309616,2780300
2014-06-18,76.870003,77.389999,76.120003,77.360001,69.349503,3481600
2014-06-19,77.470001,77.739998,77.320000,77.449997,69.430191,4535000
2014-06-20,77.730003,77.879997,76.720001,76.790001,68.838524,6127200
2014-06-23,76.769997,76.779999,76.000000,76.320000,68.417206,3573100
2014-06-24,75.709999,76.239998,74.639999,75.480003,67.664185,5865300
2014-06-25,75.559998,75.790001,75.070000,75.459999,67.646248,4240500
2014-06-26,75.470001,76.059998,75.110001,75.540001,67.717972,4008400
2014-06-27,75.449997,75.779999,75.190002,75.720001,67.879318,7274100
2014-06-30,75.739998,76.139999,75.209999,75.370003,67.565582,3982700
2014-07-01,75.889999,76.330002,75.419998,76.040001,68.166191,3361300
2014-07-02,75.989998,76.730003,75.750000,76.250000,68.354439,2759100
2014-07-03,76.419998,76.930000,76.309998,76.830002,68.874382,2040800
2014-07-07,76.610001,76.989998,76.480003,76.669998,68.730957,2439600
2014-07-08,76.580002,76.660004,76.180000,76.529999,68.605438,3318100
2014-07-09,76.849998,76.959999,76.250000,76.839996,68.883354,3127300
2014-07-10,76.239998,76.930000,76.040001,76.610001,68.677177,2911700
2014-07-11,76.550003,77.029999,76.300003,76.900002,68.937149,2269000
2014-07-14,77.129997,77.540001,77.099998,77.290001,69.286766,2272700
2014-07-15,77.209999,77.650002,76.919998,77.410004,69.394341,3502300
2014-07-16,77.690002,77.849998,76.900002,77.029999,69.053680,2796300
2014-07-17,76.620003,77.010002,76.089996,76.110001,68.473404,2418500
2014-07-18,76.320000,77.519997,76.239998,77.470001,69.696945,3247700
2014-07-21,76.989998,77.290001,76.550003,77.040001,69.310089,3152200
2014-07-22,77.110001,78.050003,77.019997,77.870003,70.056801,2697100
2014-07-23,77.820000,78.190002,77.570000,78.129997,70.290703,2314500
2014-07-24,78.339996,79.010002,78.160004,78.889999,70.974472,3798100
2014-07-25,78.750000,79.209999,78.610001,79.120003,71.181389,3295000
2014-07-28,79.000000,79.150002,78.190002,78.379997,70.515625,4278500
2014-07-29,78.489998,78.639999,77.809998,77.809998,70.002823,3372500
2014-07-30,78.000000,78.199997,77.430000,77.739998,69.939857,4014400
2014-07-31,77.309998,77.739998,76.360001,76.360001,68.698303,4385900
2014-08-01,76.199997,77.089996,76.199997,76.489998,68.815277,4483000
2014-08-04,76.519997,77.480003,76.500000,77.370003,69.606972,4396200
2014-08-05,78.010002,78.959999,76.169998,77.269997,69.516998,6797600
2014-08-06,74.720001,77.430000,74.690002,77.029999,69.301094,11306300
2014-08-07,77.500000,77.629997,75.629997,76.110001,68.473404,5665500
2014-08-08,76.250000,77.919998,76.180000,77.809998,70.002823,4574600
2014-08-11,78.019997,78.690002,77.949997,78.360001,70.497650,3248700
2014-08-12,78.209999,78.839996,78.120003,78.669998,70.776543,2425000
2014-08-13,78.930000,79.150002,78.440002,78.910004,70.992455,3448300
2014-08-14,79.059998,79.339996,78.889999,79.300003,71.343307,2696200
2014-08-15,79.300003,79.500000,78.440002,78.910004,70.992455,3308500
2014-08-18,79.160004,79.430000,78.900002,79.150002,71.208374,2205900
2014-08-19,79.300003,79.540001,78.970001,79.529999,71.550232,2251800
2014-08-20,79.440002,79.760002,79.169998,79.610001,71.622215,2584500
2014-08-21,79.790001,79.820000,78.930000,78.980003,71.055443,2597400
2014-08-22,78.910004,79.599998,78.910004,79.239998,71.289330,3502200
2014-08-25,79.440002,79.769997,79.110001,79.209999,71.262344,2500700
2014-08-26,79.169998,79.639999,78.900002,79.349998,71.388290,2727200
2014-08-27,79.480003,79.750000,79.250000,79.430000,71.460281,2093100
2014-08-28,79.309998,79.599998,78.970001,79.430000,71.460281,1811400
2014-08-29,79.500000,79.800003,79.279999,79.449997,71.478271,2416200
2014-09-02,79.470001,79.790001,79.220001,79.730003,71.730179,2565800
2014-09-03,79.889999,80.620003,79.669998,80.360001,72.296974,3512200
2014-09-04,80.430000,81.160004,80.019997,80.309998,72.251976,4924000
2014-09-05,80.470001,81.650002,80.110001,81.639999,73.448532,3567400
2014-09-08,81.720001,82.120003,81.150002,81.400002,73.232620,3357600
2014-09-09,81.500000,81.559998,80.570000,80.860001,72.746811,3849300
2014-09-10,80.779999,81.190002,80.589996,80.910004,72.791786,2751100
2014-09-11,80.760002,81.220001,80.750000,81.089996,72.953720,3926300
2014-09-12,81.360001,81.360001,80.330002,80.570000,72.485901,2867800
2014-09-15,81.050003,81.279999,80.900002,81.239998,73.088669,4369500
2014-09-16,81.160004,82.570000,81.150002,82.220001,73.970345,3832000
2014-09-17,81.900002,82.489998,81.750000,82.239998,73.988319,3570100
2014-09-18,81.940002,82.129997,81.050003,81.180000,73.034683,4831000
2014-09-19,81.669998,81.750000,81.029999,81.370003,73.205620,5876000
2014-09-22,81.230003,81.279999,80.470001,80.599998,72.512886,3534200
2014-09-23,80.559998,80.750000,79.820000,79.989998,71.964073,3684000
2014-09-24,80.349998,80.889999,80.139999,80.820000,72.710823,4268700
2014-09-25,80.580002,80.790001,79.709999,79.839996,71.829155,3899100
2014-09-26,79.620003,80.440002,79.610001,80.290001,72.233986,3917500
2014-09-29,79.739998,80.199997,79.269997,80.029999,72.000069,3026900
2014-09-30,80.000000,80.309998,79.449997,79.589996,71.604218,4049100
2014-10-01,79.449997,79.830002,79.050003,79.139999,71.199371,6973100
2014-10-02,79.230003,80.260002,79.019997,80.059998,72.027054,6297000
2014-10-03,80.430000,81.400002,80.099998,81.330002,73.169632,5630700
2014-10-06,81.559998,81.919998,81.080002,81.339996,73.178635,3370500
2014-10-07,81.019997,82.000000,80.839996,81.029999,72.899734,4676200
2014-10-08,81.290001,82.559998,81.050003,82.519997,74.240227,4846500
2014-10-09,82.529999,83.199997,81.919998,81.949997,73.727425,5075700
2014-10-10,82.190002,83.449997,81.680000,82.480003,74.204262,7263100
2014-10-13,82.519997,82.519997,80.019997,80.120003,72.081055,7516200
2014-10-14,80.660004,81.279999,80.389999,80.680000,72.584862,7812900
2014-10-15,79.690002,79.980003,77.510002,78.989998,71.064423,9026300
2014-10-16,77.699997,79.650002,77.400002,78.809998,70.902481,7354300
2014-10-17,79.870003,80.169998,78.970001,79.959999,71.937111,5568000
2014-10-20,80.059998,81.970001,79.849998,81.760002,73.556496,5721400
2014-10-21,81.760002,83.099998,81.510002,82.919998,74.851860,5166000
2014-10-22,83.080002,83.790001,82.839996,83.250000,75.149765,5206000
2014-10-23,83.919998,84.449997,83.430000,83.599998,75.465691,3969400
2014-10-24,83.680000,84.349998,83.419998,84.290001,76.088585,2709200
2014-10-27,84.290001,85.220001,84.209999,84.839996,76.585022,3602500
2014-10-28,85.199997,85.260002,84.699997,85.199997,76.910019,3386900
2014-10-29,85.070000,85.739998,84.580002,85.190002,76.901016,3379100
2014-10-30,84.849998,85.949997,84.779999,85.550003,77.225960,3102700
2014-10-31,86.680000,87.160004,85.720001,85.809998,77.460655,6211000
2014-11-03,86.029999,86.680000,85.910004,86.120003,77.740501,5217300
2014-11-04,84.849998,86.209999,83.610001,85.470001,77.153748,6300000
2014-11-05,86.330002,87.879997,85.680000,87.500000,78.986229,5460700
2014-11-06,87.599998,88.480003,87.349998,88.430000,79.825752,3994900
2014-11-07,88.169998,88.410004,87.739998,88.379997,79.780624,3651200
2014-11-10,88.110001,89.209999,87.919998,89.190002,80.511818,3489300
2014-11-11,89.330002,90.180000,89.309998,89.760002,81.026329,3330300
2014-11-12,89.610001,89.800003,89.019997,89.290001,80.602058,3000800
2014-11-13,89.459999,90.139999,89.400002,90.129997,81.360321,3489000
2014-11-14,90.099998,90.250000,89.029999,89.129997,80.457626,5289500
2014-11-17,89.129997,90.129997,89.129997,90.120003,81.351318,4021400
2014-11-18,90.040001,90.449997,89.730003,90.120003,81.351318,3938900
2014-11-19,90.059998,90.370003,89.339996,89.589996,80.872894,4060500
2014-11-20,89.419998,89.709999,88.940002,89.250000,80.565948,3513100
2014-11-21,89.620003,89.970001,89.230003,89.330002,80.638184,4319400
2014-11-24,89.790001,91.110001,89.669998,90.870003,82.028336,4193800
2014-11-25,91.080002,91.080002,90.129997,90.290001,81.504768,3907800
2014-11-26,90.650002,90.919998,90.220001,90.889999,82.046379,2112300
2014-11-28,91.209999,92.000000,91.139999,91.360001,82.470642,1966200
2014-12-01,91.419998,91.419998,89.980003,90.160004,81.387413,3788500
2014-12-02,90.110001,90.470001,89.900002,90.089996,81.324226,3671400
2014-12-03,89.889999,90.250000,88.949997,89.139999,80.466667,4429200
2014-12-04,89.519997,89.970001,89.040001,89.839996,81.098526,4141500
2014-12-05,90.000000,90.730003,89.639999,90.699997,81.874878,3074700
2014-12-08,90.410004,91.220001,90.320000,90.760002,81.929031,2779000
